AUS,Stadium Australia,Sydney,10,Australia/Sydney
SYD,Sydney Football Stadium,Sydney,10,Australia/Sydney
LP,Lang Park,Brisbane,10,Australia/Sydney
MEL,Melbourne Rectangular Stadium,Melbourne,10,Australia/Melbourne
PER,Perth Rectangular Stadium,Perth,8,Australia/Perth
HIN,Hindmarsh Stadium,Adelaide,9.5,Australia/Adelaide
EDE,Eden Park,Auckland,12,Pacific/Auckland
WEL,Wellington Regional Stadium,Wellington,12,Pacific/Auckland
FOR,Forsyth Barr Stadium,Dunedin,12,Pacific/Auckland
WAI,Waikato Stadium,Hamilton,12,Pacific/Auckland
